uid,tgid,tid,%usr,%system,%guest,%wait,%cpu,cpu,command,process
0,-,857,0.17,0.89,0.00,0.00,1.05%,"0,1,2,3",cnn-1,cnn
0,-,859,0.01,0.01,0.00,0.00,0.01%,"0,1,2,3",cnn,cnn
0,-,860,0.01,0.01,0.00,0.00,0.02%,"0,1,2,3",cnn,cnn
0,-,861,0.01,0.0,0.00,0.00,0.01%,"0,1,2,3",cnn,cnn
0,-,863,0.01,0.0,0.00,0.00,0.01%,"0,2,3",cnn,cnn
0,-,864,0.01,0.01,0.00,0.00,0.02%,"0,1,2,3",cnn,cnn
0,-,865,0.01,0.0,0.00,0.00,0.01%,"0,2",cnn,cnn
0,-,465,0.0,0.03,0.00,0.00,0.03%,"0,2,3",jbd2/mmcblk0p10,jbd2/mmcblk0p10
0,-,78,0.0,0.23,0.00,0.00,0.23%,"0,1,2,3",kswapd0,kswapd0
0,-,5,0.0,0.1,0.00,0.00,0.1%,"0,1,2,3",kworker/u8:0,kworker/u8:0
0,-,5863,0.0,0.03,0.00,0.00,0.03%,"0,1,2,3",kworker/u8:1,kworker/u8:1
0,-,7395,0.0,0.02,0.00,0.00,0.02%,"0,1,2,3",kworker/u8:2,kworker/u8:2
0,-,950,0.0,0.13,0.00,0.00,0.13%,"0,1,2,3",kworker/u8:3,kworker/u8:3
0,-,114,0.0,0.16,0.00,0.00,0.16%,"0,1,2,3",mmcqd/0,mmcqd/0
0,-,121,0.0,0.13,0.00,0.00,0.13%,"0,1,2,3",mmcqd/1,mmcqd/1
0,-,2371,0.6,1.19,0.00,0.00,1.79%,"0,1,2,3",pidstat,pidstat
0,-,8,0.0,0.23,0.00,0.00,0.23%,"0,1,2,3",rcu_preempt,rcu_preempt
0,-,9,0.0,0.05,0.00,0.00,0.05%,"0,1,2,3",rcu_sched,rcu_sched
0,-,615,0.02,0.05,0.00,0.00,0.07%,"0,1,2,3",resnet50,resnet50
0,-,701,2.58,2.39,0.00,0.00,4.97%,"0,1,2,3",resnet50-1,resnet50
0,-,719,0.0,0.01,0.00,0.00,0.01%,"0,1,2,3",rnn,rnn
0,-,731,0.61,1.38,0.00,0.00,1.99%,"0,1,2,3",glog,rnn
0,-,733,10.68,1.14,0.00,0.00,11.82%,"0,1,2,3",cnn-1,rnn
0,-,684,0.0,0.01,0.00,0.00,0.01%,"0,1,2,3",rss,rss
0,-,687,0.0,0.0,0.00,0.00,0.0%,"0,2,3",rss,rss
0,-,688,0.0,0.0,0.00,0.00,0.0%,"0,2",rss,rss
0,-,1759,0.01,0.03,0.00,0.00,0.04%,"0,1,2",sshd,sshd
0,-,636,0.06,0.15,0.00,0.00,0.21%,"0,1,2,3",statusd,statusd
0,-,638,0.0,0.03,0.00,0.00,0.03%,"0,1,2,3",statusd,statusd
0,-,700,0.0,0.01,0.00,0.00,0.01%,"0,2",vin_update_sht_,vin_update_sht_
