
16时00分18秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时00分23秒     0         -       921    0.00    0.39    0.00    0.00    0.39     0  |__echw
16时00分23秒     0         -       922    0.00    0.20    0.00    0.00    0.20     0  |__esn
16时00分23秒     0         -       923    0.20    0.20    0.00    0.00    0.39     0  |__elm
16时00分23秒     0      2151         -    0.00    0.20    0.00    0.00    0.20     2  kworker/u8:2
16时00分23秒     0         -      2151    0.00    0.20    0.00    0.00    0.20     2  |__kworker/u8:2
16时00分23秒     0      2371         -    0.39    0.98    0.00    0.00    1.37     1  pidstat
16时00分23秒     0         -      2371    0.39    0.98    0.00    0.00    1.37     1  |__pidstat

16时00分23秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时00分28秒     0         8         -    0.00    0.20    0.00    0.00    0.20     2  rcu_preempt
16时00分28秒     0         -         8    0.00    0.20    0.00    0.00    0.20     2  |__rcu_preempt
16时00分28秒     0        30         -    0.00    0.20    0.00    0.00    0.20     0  kworker/0:1
16时00分28秒     0         -        30    0.00    0.20    0.00    0.00    0.20     0  |__kworker/0:1
16时00分28秒     0       112         -    0.00    0.20    0.00    0.00    0.20     2  kworker/2:2
16时00分28秒     0         -       112    0.00    0.20    0.00    0.00    0.20     2  |__kworker/2:2
16时00分28秒     0       114         -    0.00    0.20    0.00    0.00    0.20     3  mmcqd/0
16时00分28秒     0         -       114    0.00    0.20    0.00    0.00    0.20     3  |__mmcqd/0
16时00分28秒     0       329         -    0.00    0.20    0.00    0.00    0.20     2  bopt
16时00分28秒     0         -       329    0.00    0.20    0.00    0.00    0.20     2  |__bopt
16时00分28秒     0       615         -    2.40    2.40    0.00    0.00    4.80     0  resnet50
16时00分28秒     0         -       701    2.40    2.40    0.00    0.00    4.80     3  |__resnet50-1
16时00分28秒     0       636         -    0.20    0.00    0.00    0.00    0.20     2  statusd
16时00分28秒     0       691         -    3.20    4.00    0.00    0.00    7.20     2  cnn
16时00分28秒     0         -       691    0.00    0.20    0.00    0.00    0.20     2  |__cnn
16时00分28秒     0         -       693    0.20    0.00    0.00    0.00    0.20     0  |__cnn
16时00分28秒     0         -       694    0.20    0.40    0.00    0.00    0.60     0  |__cnn
16时00分28秒     0         -       705    0.40    0.40    0.00    0.00    0.80     0  |__cnn
16时00分28秒     0         -       706    0.60    0.20    0.00    0.00    0.80     0  |__cnn
16时00分28秒     0         -       707    1.00    1.00    0.00    0.00    2.00     0  |__cnn
16时00分28秒     0         -       708    0.60    0.20    0.00    0.00    0.80     0  |__cnn
16时00分28秒     0         -       856    0.40    0.20    0.00    0.00    0.60     0  |__cnn
16时00分28秒     0         -       857    0.00    0.80    0.00    0.00    0.80     2  |__cnn-1
16时00分28秒     0         -       860    0.00    0.20    0.00    0.00    0.20     2  |__cnn
16时00分28秒     0       719         -  131.20    6.60    0.00    0.00  137.80     2  rnn
16时00分28秒     0         -       731    0.60    1.20    0.00    0.00    1.80     2  |__glog
16时00分28秒     0         -       732    0.20    0.00    0.00    0.00    0.20     0  |__fast-rnn
16时00分28秒     0         -       733    9.40    1.40    0.00    0.00   10.80     2  |__cnn-1
16时00分28秒     0         -       734    0.00    0.20    0.00    0.00    0.20     0  |__ffnn
16时00分28秒     0         -       737    6.60    0.20    0.00    0.00    6.80     1  |__mc
16时00分28秒     0         -       738    2.80    0.40    0.00    0.00    3.20     3  |__fast-rnn
16时00分28秒     0         -       739    7.80    0.20    0.00    0.00    8.00     3  |__fast-rnn
16时00分28秒     0         -       740    4.20    0.00    0.00    0.00    4.20     3  |__fast-rnn
16时00分28秒     0         -       741    0.20    0.00    0.00    0.00    0.20     3  |__fast-rnn
16时00分28秒     0         -       743    8.80    0.20    0.00    0.00    9.00     3  |__fast-rnn
16时00分28秒     0         -       744   11.00    0.40    0.00    0.00   11.40     3  |__fast-rnn
16时00分28秒     0         -       745    8.20    0.40    0.00    0.00    8.60     3  |__fast-rnn
16时00分28秒     0         -       746    8.00    0.60    0.00    0.00    8.60     3  |__fast-rnn
16时00分28秒     0         -       747    3.00    0.20    0.00    0.00    3.20     3  |__fast-rnn
16时00分28秒     0         -       749   33.80    0.20    0.00    0.00   34.00     1  |__rnn
16时00分28秒     0         -       750    0.60    0.00    0.00    0.00    0.60     1  |__rnn
16时00分28秒     0         -       752    1.00    0.20    0.00    0.00    1.20     2  |__rnn
16时00分28秒     0         -       753    0.00    0.20    0.00    0.00    0.20     2  |__rnn
16时00分28秒     0         -       754    1.00    0.00    0.00    0.00    1.00     2  |__rnn
16时00分28秒     0         -       760   21.40    0.20    0.00    0.00   21.60     2  |__rnn
16时00分28秒     0         -       761    2.40    0.20    0.00    0.00    2.60     0  |__rnn
16时00分28秒     0         -       805    0.20    0.20    0.00    0.00    0.40     2  |__rnn
16时00分28秒     0         -       806    0.00    0.20    0.00    0.00    0.20     0  |__rbf
16时00分28秒     0       759         -    0.40    0.80    0.00    0.00    1.20     0  bm
16时00分28秒     0         -       766    0.20    0.80    0.00    0.00    1.00     0  |__cnn-1
16时00分28秒     0         -       767    0.00    0.20    0.00    0.00    0.20     0  |__bm
16时00分28秒     0         -       768    0.20    0.00    0.00    0.00    0.20     0  |__bm
16时00分28秒     0         -       771    0.20    0.00    0.00    0.00    0.20     0  |__bm
16时00分28秒     0       788         -    0.40    1.20    0.00    0.00    1.60     0  rbm
16时00分28秒     0         -       791    0.20    0.80    0.00    0.00    1.00     0  |__cnn-1
16时00分28秒     0         -       793    0.00    0.20    0.00    0.00    0.20     0  |__rbm
16时00分28秒     0         -       801    0.00    0.40    0.00    0.00    0.40     0  |__sae
16时00分28秒     0         -      1048    0.20    0.00    0.00    0.00    0.20     0  |__show_me_money
16时00分28秒     0       812         -    3.80    0.60    0.00    0.00    4.40     0  svm
16时00分28秒     0         -       819    0.20    0.20    0.00    0.00    0.40     0  |__upload_info
16时00分28秒     0         -       825    3.60    0.40    0.00    0.00    4.00     0  |__lsm
16时00分28秒     0       840         -    1.40    1.00    0.00    0.00    2.40     0  dae
16时00分28秒     0         -       849    1.20    1.00    0.00    0.00    2.20     0  |__cnn-1
16时00分28秒     0       855         -    5.40    1.80    0.00    0.00    7.20     0  dbn
16时00分28秒     0         -       883    0.60    0.20    0.00    0.00    0.80     0  |__dn
16时00分28秒     0         -       892    2.40    0.20    0.00    0.00    2.60     0  |__aac_encode
16时00分28秒     0         -       893    1.00    0.20    0.00    0.00    1.20     0  |__pcm
16时00分28秒     0         -       895    1.40    1.00    0.00    0.00    2.40     0  |__cnn-1
16时00分28秒     0       914         -    0.40    0.20    0.00    0.00    0.60     0  birnn
16时00分28秒     0         -       921    0.00    0.20    0.00    0.00    0.20     0  |__echw
16时00分28秒     0         -       922    0.40    0.00    0.00    0.00    0.40     0  |__esn
16时00分28秒     0         -       923    0.20    0.00    0.00    0.00    0.20     0  |__elm
16时00分28秒     0      2151         -    0.00    0.20    0.00    0.00    0.20     0  kworker/u8:2
16时00分28秒     0         -      2151    0.00    0.20    0.00    0.00    0.20     0  |__kworker/u8:2
16时00分28秒     0      2371         -    0.80    1.20    0.00    0.00    2.00     0  pidstat
16时00分28秒     0         -      2371    0.80    1.20    0.00    0.00    2.00     0  |__pidstat
16时00分28秒     0      2403         -    0.00    0.40    0.00    0.00    0.40     3  top
16时00分28秒     0         -      2403    0.00    0.40    0.00    0.00    0.40     3  |__top

16时00分28秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时00分33秒     0         5         -    0.00    0.20    0.00    0.00    0.20     3  kworker/u8:0
16时00分33秒     0         -         5    0.00    0.20    0.00    0.00    0.20     3  |__kworker/u8:0
16时00分33秒     0         7         -    0.00    0.20    0.00    0.00    0.20     0  ksoftirqd/0
16时00分33秒     0         -         7    0.00    0.20    0.00    0.00    0.20     0  |__ksoftirqd/0
16时00分33秒     0         8         -    0.00    0.20    0.00    0.00    0.20     3  rcu_preempt
16时00分33秒     0         -         8    0.00    0.20    0.00    0.00    0.20     3  |__rcu_preempt
16时00分33秒     0         9         9    0.00    0.20    0.00    0.00    0.20     1  (rcu_sched)__rcu_sched
16时00分33秒     0        30         -    0.00    0.40    0.00    0.00    0.40     0  kworker/0:1
16时00分33秒     0         -        30    0.00    0.40    0.00    0.00    0.40     0  |__kworker/0:1
16时00分33秒     0       329         -    0.00    0.20    0.00    0.00    0.20     2  bopt
16时00分33秒     0         -       329    0.00    0.20    0.00    0.00    0.20     2  |__bopt
16时00分33秒     0       465         -    0.00    0.20    0.00    0.00    0.20     2  jbd2/mmcblk0p10
16时00分33秒     0         -       465    0.00    0.20    0.00    0.00    0.20     2  |__jbd2/mmcblk0p10
16时00分33秒     0       615         -    2.60    2.00    0.00    0.00    4.60     2  resnet50
16时00分33秒     0         -       615    0.00    0.20    0.00    0.00    0.20     2  |__resnet50
16时00分33秒     0         -       701    2.40    1.80    0.00    0.00    4.20     0  |__resnet50-1
16时00分33秒     0       636         -    0.00    0.20    0.00    0.00    0.20     2  statusd
16时00分33秒     0         -       636    0.00    0.20    0.00    0.00    0.20     2  |__statusd
16时00分33秒     0       691         -    3.60    3.60    0.00    0.00    7.20     3  cnn
16时00分33秒     0         -       692    0.00    0.20    0.00    0.00    0.20     3  |__glog
16时00分33秒     0         -       693    0.20    0.00    0.00    0.00    0.20     0  |__cnn
16时00分33秒     0         -       694    0.20    0.60    0.00    0.00    0.80     0  |__cnn
16时00分33秒     0         -       705    0.60    0.20    0.00    0.00    0.80     0  |__cnn
16时00分33秒     0         -       706    0.40    0.00    0.00    0.00    0.40     0  |__cnn
16时00分33秒     0         -       707    0.80    1.20    0.00    0.00    2.00     0  |__cnn
16时00分33秒     0         -       708    0.40    0.60    0.00    0.00    1.00     0  |__cnn
16时00分33秒     0         -       856    0.40    0.00    0.00    0.00    0.40     0  |__cnn
16时00分33秒     0         -       857    0.40    0.80    0.00    0.00    1.20     2  |__cnn-1
16时00分33秒     0       719         -  135.80    6.80    0.00    0.00  142.60     2  rnn
16时00分33秒     0         -       731    0.60    1.40    0.00    0.00    2.00     2  |__glog
16时00分33秒     0         -       732    0.20    0.20    0.00    0.00    0.40     0  |__fast-rnn
16时00分33秒     0         -       733   10.00    1.00    0.00    0.00   11.00     2  |__cnn-1
16时00分33秒     0         -       737    6.40    0.20    0.00    0.00    6.60     1  |__mc
16时00分33秒     0         -       738    2.60    0.40    0.00    0.00    3.00     3  |__fast-rnn
16时00分33秒     0         -       739    7.60    0.20    0.00    0.00    7.80     3  |__fast-rnn
16时00分33秒     0         -       740    3.80    0.20    0.00    0.00    4.00     3  |__fast-rnn
16时00分33秒     0         -       743    9.00    0.40    0.00    0.00    9.40     3  |__fast-rnn
16时00分33秒     0         -       744   10.00    0.20    0.00    0.00   10.20     3  |__fast-rnn
16时00分33秒     0         -       745    8.20    0.40    0.00    0.00    8.60     3  |__fast-rnn
16时00分33秒     0         -       746    9.00    0.80    0.00    0.00    9.80     3  |__fast-rnn
16时00分33秒     0         -       747    3.00    0.40    0.00    0.00    3.40     3  |__fast-rnn
16时00分33秒     0         -       748    0.20    0.00    0.00    0.00    0.20     3  |__fast-rnn
16时00分33秒     0         -       749   31.20    0.00    0.00    0.00   31.20     1  |__rnn
16时00分33秒     0         -       750    0.60    0.00    0.00    0.00    0.60     1  |__rnn
16时00分33秒     0         -       752    1.20    0.20    0.00    0.00    1.40     2  |__rnn
16时00分33秒     0         -       753    0.20    0.40    0.00    0.00    0.60     2  |__rnn
16时00分33秒     0         -       754    1.20    0.20    0.00    0.00    1.40     2  |__rnn
16时00分33秒     0         -       760   28.00    0.40    0.00    0.00   28.40     2  |__rnn
16时00分33秒     0         -       761    2.00    0.20    0.00    0.00    2.20     0  |__rnn
16时00分33秒     0         -       805    0.40    0.00    0.00    0.00    0.40     2  |__rnn
16时00分33秒     0       759         -    0.40    1.20    0.00    0.00    1.60     0  bm
16时00分33秒     0         -       764    0.20    0.00    0.00    0.00    0.20     0  |__show_me_money
16时00分33秒     0         -       766    0.20    1.00    0.00    0.00    1.20     0  |__cnn-1
16时00分33秒     0         -       773    0.20    0.00    0.00    0.00    0.20     0  |__bm
16时00分33秒     0       788         -    0.20    1.40    0.00    0.00    1.60     0  rbm
16时00分33秒     0         -       791    0.20    0.80    0.00    0.00    1.00     0  |__cnn-1
16时00分33秒     0         -       801    0.00    0.40    0.00    0.00    0.40     0  |__sae
16时00分33秒     0         -       804    0.20    0.00    0.00    0.00    0.20     0  |__log_upld
16时00分33秒     0       812         -    4.00    0.60    0.00    0.00    4.60     0  svm
16时00分33秒     0         -       819    0.20    0.40    0.00    0.00    0.60     0  |__upload_info
16时00分33秒     0         -       825    3.80    0.40    0.00    0.00    4.20     0  |__lsm
16时00分33秒     0         -       834    0.20    0.00    0.00    0.00    0.20     0  |__show_me_money
16时00分33秒     0       829       833    0.00    0.20    0.00    0.00    0.20     0  (vae)__show_me_money
16时00分33秒     0       840         -    1.40    0.80    0.00    0.00    2.20     0  dae
16时00分33秒     0         -       849    1.40    0.60    0.00    0.00    2.00     0  |__cnn-1
16时00分33秒     0       855         -    5.40    1.60    0.00    0.00    7.00     0  dbn
16时00分33秒     0         -       867    0.00    0.20    0.00    0.00    0.20     0  |__chk
16时00分33秒     0         -       883    0.40    0.00    0.00    0.00    0.40     0  |__dn
16时00分33秒     0         -       892    2.60    0.20    0.00    0.00    2.80     0  |__aac_encode
