procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 175496  33012 813644    0    0     0  3258 7673 13411 28  8 50 14  0
 9  0      0 174856  33020 814908    0    0     0  1174 7518 13425 26  7 66  0  0
 1  0      0 174720  33032 816088    0    0     0   130 7545 13442 26  7 66  0  0
 8  0      0 172268  33040 817348    0    0     0   184 7578 13514 26  7 67  0  0
 8  0      0 170536  33056 818532    0    0     0   183 7522 13467 26  7 67  0  0
15  2      0 152800  33068 835200    0    0     0   825 7654 13639 25  8 66  2  0
11  1      0 125240  33072 863716    0    0     0  2254 7751 13511 26  8 47 18  0
 1  0      0 222460  33144 767424    0    0     0  2735 7691 13409 26  9 56  9  0
 2  0      0 220132  33156 768784    0    0     0   450 7519 13429 26  7 67  0  0
 5  0      0 217112  33216 773124    0    0     0   170 7526 13399 26  7 67  0  0
 3  0      0 211564  33260 776828    0    0     0   466 7607 13574 25  7 67  0  0
 0  1      0 194508  33332 793920    0    0     0   897 7633 13623 26  7 66  1  0
 2  0      0 134044  33392 853100    0    0     0  5831 7858 13619 27  8 56  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 129904  33448 857064    0    0     0   411 7622 13515 26  7 67  0  0
 5  0      0 126928  33500 861272    0    0     0   442 7622 13533 26  7 67  0  0
 3  0      0 121540  33556 865728    0    0     0   487 7454 13459 25  7 68  0  0
 1  0      0 120052  33600 867020    0    0     0   145 7407 13449 24  7 69  0  0
 5  1      0 101508  33704 884120    0    0    13   915 7732 13705 25  8 66  1  0
 4  2      0  85416  33732 898808    0    0     0  2918 7659 13384 25  8 37 30  0
 4  0      0 180616  33808 804392    0    0     0  2317 7696 13481 24  8 51 16  0
 1  0      0 176820  33852 808284    0    0     0   481 7506 13375 24  7 66  3  0
 3  0      0 173380  33908 812844    0    0     0   491 7434 13339 24  7 69  0  0
 3  0      0 169152  33956 817324    0    0     0   413 7503 13426 25  7 68  0  0
 7  0      0 140740  34044 842824    0    0     0  1308 7629 13522 25  8 67  1  0
 3  1      0 110256  34100 875468    0    0     0  2837 7650 13478 25  8 48 18  0
 3  0      0 193684  34188 792440    0    0     0  1455 7656 13526 25  8 59  8  0
 4  0      0 190260  34244 796124    0    0     0   480 7681 13595 25  8 68  0  0
 5  0      0 187968  34272 797228    0    0     0   446 7462 13397 24  7 68  0  0
 3  0      0 185088  34328 800648    0    0     0   133 7498 13441 24  7 69  0  0
 2  1      0 165848  34432 819176    0    0     0  1243 7658 13651 24  7 68  1  0
 4  0      0 134664  34500 851520    0    0     1  2183 7672 13454 25  8 52 16  0
 4  1      0 131512  34540 853540    0    0     0  3274 8017 13817 24  8 51 17  0
 2  0      0 170788  34628 816308    0    0     0   181 7554 13336 24  7 65  3  0
 4  0      0 165268  34676 819716    0    0     0   461 7494 13422 24  7 68  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 163908  34696 821872    0    0     0   452 7563 13523 25  7 68  0  0
 6  1      0 143968  34804 841148    0    0     0   852 7553 13502 25  8 67  1  0
 6  1      0 102808  34832 880948    0    0     0  3785 7791 13618 24  8 49 20  0
 4  1      0 153904  34896 832196    0    0     0   611 7685 13530 24  8 60  8  0
 9  0      0 148932  34944 836252    0    0     0   669 7711 13603 24  7 68  1  0
13  0      0 147480  34976 837276    0    0     0   192 7439 13378 24  7 70  0  0
11  0      0 147820  34996 838516    0    0     0   142 7484 13487 24  7 69  0  0
 5  1      0 128300  35064 855420    0    0     0  1006 7658 13695 24  7 67  1  0
 9  1      0 105888  35084 878980    0    0     0  3544 7611 13384 25  8 52 15  0
 8  0      0 144232  35132 842400    0    0     0   190 7525 13503 23  7 68  2  0
14  0      0 141904  35160 843684    0    0     0   204 7410 13428 24  7 69  0  0
 1  0      0 140264  35192 844788    0    0     0   126 7599 13596 23  7 70  0  0
 1  0      0 139856  35216 846076    0    0     0   180 7445 13416 23  7 69  0  0
 1  1      0 119548  35320 863784    0    0     0  1496 7757 13770 24  8 67  1  0
 0  1      0  76812  35340 905700    0    0     0  2844 7697 13490 24  8 53 15  0
 6  0      0 135224  35396 848452    0    0     0  1490 7629 13510 24  8 60  9  0
 3  0      0 129456  35436 852552    0    0     0   456 7650 13517 24  7 69  0  0
 0  0      0 124780  35488 856848    0    0     0   408 7548 13518 23  7 70  0  0
 0  0      0 120388  35532 861204    0    0     0   471 7573 13433 24  7 69  0  0
 3  0      0  92612  35664 888000    0    0     0  1285 7741 13721 24  8 67  1  0
 4  2      0 117232  35696 863080    0    0     0  4354 7520 13272 23  9 44 24  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 126552  35784 854008    0    0     0   193 7539 13571 22  7 67  4  0
 4  0      0 122224  35832 858140    0    0     0   217 7505 13532 24  7 70  0  0
 2  0      0 120720  35864 859444    0    0     0   399 7508 13534 23  7 69  0  0
 2  0      0 119880  35892 860652    0    0     0   184 7477 13490 24  7 69  0  0
 3  2      0  86948  35988 891516    0    0     0  2143 7554 13770 22  7 70  1  0
 0  2      0 121056  36068 858032    0    0     0  3582 7768 13711 23  8 52 17  0
 0  0      0 128420  36168 852272    0    0     0   414 7635 13625 24  7 67  3  0
 1  0      0 127052  36176 853336    0    0     0   179 7455 13617 22  6 72  0  0
 0  0      0 125996  36196 854432    0    0     0   193 7364 13522 22  6 71  0  0
 1  0      0 124376  36232 855784    0    0     0   138 7486 13571 23  7 70  0  0
 0  2      0  95096  36356 882396    0    0     0  1729 7643 13737 23  8 69  1  0
 5  2      0  83176  36372 895928    0    0     0  3383 7678 13535 24  8 50 18  0
 0  0      0 119480  36488 861168    0    0     0   395 7606 13551 24  7 60  9  0
 0  0      0 118984  36512 862264    0    0     0   196 7348 13299 24  7 69  0  0
 0  0      0 118824  36540 863544    0    0     0   183 7409 13280 24  7 69  0  0
 3  0      0 117092  36560 864568    0    0     0   123 7235 13126 24  7 69  0  0
 0  1      0  99220  36636 881120    0    0     0  1000 7526 13442 25  7 67  1  0
 4  0      0 123184  36716 857960    0    0     0  3620 7630 13270 25  9 54 12  0
 1  0      0 117804  36828 861756    0    0     0   155 7458 13319 26  7 67  0  0
 0  0      0 113060  36900 867228    0    0     0   523 7462 13252 27  8 65  0  0
 0  0      0 112848  36936 868136    0    0     0   428 7328 13308 24  7 69  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 107592  36968 872568    0    0     0   466 7298 13103 26  7 67  0  0
 4  0      0  88632  37048 890292    0    0     0   974 7520 13415 27  8 64  1  0
 0  3      0  63028  37184 913016    0    0     0  3688 7708 13261 29  9 44 18  0
 1  0      0 124000  37316 854768    0    0     0  1930 8091 13813 28  9 54  9  0
 2  0      0 122076  37344 856644    0    0     0   158 7386 13241 28  8 64  0  0
 1  0      0 117492  37440 861148    0    0     0   262 7342 13203 29  8 63  0  0
 1  0      0 115728  37472 862492    0    0     0   548 7437 13296 28  8 64  0  0
 3  1      0  98292  37580 879244    0    0     0  1008 7512 13312 28  8 63  1  0
 5  2      0 122760  35476 855488    0    0     0  4530 7841 13306 28 10 47 15  0
 1  0      0 131096  35600 848808    0    0     0   556 7401 13142 28  8 61  4  0
 0  0      0 119924  35692 853296    0    0     0   562 7477 13163 28  8 65  0  0
 3  0      0 119180  35736 854568    0    0     0   134 7370 13218 27  7 66  0  0
 0  0      0 118592  35756 855924    0    0     0   195 7348 13163 29  8 64  0  0
 0  1      0 100904  35900 872488    0    0     0   989 7505 13326 29  8 61  1  0
 0  1      0  66692  35612 906052    0    0     0  2946 7415 13154 29  9 47 16  0
 0  0      0 138472  35708 835500    0    0     0  1564 7490 13151 29  9 53 10  0
 3  0      0 129868  35812 843072    0    0     0   291 7432 13105 30  8 61  1  0
 1  0      0 128228  35864 845052    0    0     0   728 7478 13242 30  8 62  0  0
 5  0      0 123116  35908 849356    0    0     0   237 7400 13065 30  8 62  0  0
 2  1      0  97712  36028 873672    0    0     0  1974 7608 13313 30  9 60  1  0
 7  1      0  91308  35632 881392    0    0     0  1496 7454 13017 30  9 42 19  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 101216  35672 872436    0    0     0  1527 7387 13013 29  9 43 19  0
 1  2      0 121028  35736 852064    0    0     0  1675 7456 13058 29  9 31 30  0
 2  0      0 141680  35932 830492    0    0     0   824 7496 12962 31  9 56  3  0
 2  0      0 139448  35992 832268    0    0     0   472 7328 12897 29  8 62  1  0
 4  1      0 121724  36084 848364    0    0     0  1073 7576 13290 28  8 63  0  0
 1  1      0 102984  36104 868576    0    0     0  1829 7261 12830 27  8 52 14  0
 1  0      0 151224  36196 819604    0    0     0  1491 7454 13089 28  8 53 11  0
 1  0      0 150404  36236 820996    0    0     0   195 7223 12905 28  8 64  0  0
 4  0      0 147364  36332 824384    0    0     0   227 7400 13044 29  8 63  1  0
 4  0      0 144580  36376 826872    0    0     0   470 7307 12925 30  8 61  1  0
 0  1      0 127064  36480 843540    0    0     0  1053 7382 13156 28  8 63  1  0
 4  1      0 107088  36516 865068    0    0     0  2313 7464 13061 29  8 50 13  0
 5  0      0 161656  36616 809940    0    0     0  1481 7441 13068 28  8 55  9  0
 6  0      0 159668  36644 811200    0    0     0   185 7899 13557 28  8 64  0  0
 6  0      0 156108  36684 815532    0    0     0   401 7364 12964 28  8 64  0  0
 4  0      0 155164  36696 816576    0    0     0   226 7319 12957 27  8 65  0  0
 3  1      0 136832  36788 833524    0    0     0  1043 7602 13387 27  8 64  1  0
 3  1      0 111248  36820 858856    0    0     0  1895 7389 13089 28  8 48 16  0
 4  2      0 169576  36144 802556    0    0     0  2867 7484 13050 27  9 48 16  0
 4  0      0 182688  36248 790524    0    0     0   221 7597 13283 28  8 56  8  0
 2  0      0 180124  36288 791448    0    0     0   195 7143 12832 27  7 66  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 180432  36324 792776    0    0     0   157 7287 13003 28  7 65  0  0
 2  1      0 164592  36396 808288    0    0     0   909 7398 13173 28  8 63  1  0
 1  1      0 134488  36456 836156    0    0     0  2140 7461 13097 29  8 47 16  0
 0  2      0 161420  36484 811248    0    0     0  1502 7467 13090 28  9 48 15  0
 2  0      0 170988  36576 801124    0    0     0   197 7179 12868 27  8 54 11  0
 0  0      0 171232  36604 802436    0    0     0   141 7340 13069 27  8 64  0  0
 0  0      0 167752  36656 805364    0    0     0   225 7293 13033 28  8 64  0  0
 1  2      0 142544  36728 829924    0    0     0  1270 7537 13363 28  8 62  2  0
 0  1      0 162368  36792 810584    0    0     0  2990 7293 12848 28  9 45 19  0
 0  0      0 161872  36852 810172    0    0     0   196 7256 12912 27  7 63  3  0
 0  0      0 161288  36888 811300    0    0     0   156 7337 13108 27  7 65  0  0
 0  0      0 159488  36920 812580    0    0     0   186 7292 13161 27  7 66  0  0
 2  0      0 154736  36960 817040    0    0     0   414 7167 13202 25  7 68  0  0
 0  1      0 138284  37012 832924    0    0     0  1038 7363 13445 26  8 65  1  0
 2  1      0 115844  37060 854700    0    0     0  3311 7434 13173 27  8 51 14  0
 1  1      0 172236  37192 796208    0    0     0  1183 7457 13196 29  9 54  8  0
 5  0      0 171944  37236 799032    0    0     0   525 7455 13267 28  8 64  0  0
 0  0      0 170368  37264 800316    0    0     0   230 7287 13115 28  8 65  0  0
 0  0      0 167204  37280 801720    0    0     0   127 7206 12974 27  8 65  0  0
 0  1      0 151868  37352 818240    0    0     0  1073 7455 13428 27  8 65  1  0
 6  0      0 121276  37384 846496    0    0     0  3549 7407 13169 27  8 51 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 180716  37468 788000    0    0     0   195 7331 13156 28  8 63  1  0
 5  0      0 180548  37508 789640    0    0     0   206 7281 13069 28  8 64  0  0
 8  0      0 179700  37532 790844    0    0     0   151 7165 13101 28  7 65  0  0
 8  0      0 177840  37544 792072    0    0     0   215 7165 13079 26  7 67  0  0
 0  1      0 155048  37704 814100    0    0     0   863 7632 13393 29  8 61  2  0
 4  0      0 121328  37728 848120    0    0     0  4749 7460 13188 26  9 49 16  0
 3  1      0 193500  37820 773468    0    0     1   996 7659 13490 26  8 60  6  0
 2  0      0 194748  37844 774532    0    0     0   162 7089 12987 27  7 66  0  0
 0  0      0 187092  37952 782624    0    0     0   814 7672 13460 29  8 63  1  0
 3  0      0 186064  37984 784220    0    0     0   212 7223 13036 28  8 65  0  0
 3  1      0 157116  38128 811104    0    0     0  1919 7572 13519 28  8 63  1  0
 2  1      0 133764  36712 836432    0    0     0  2848 7483 13349 27  8 47 18  0
 0  0      0 188996  36836 782528    0    0     0   793 7377 13247 26  8 57  9  0
 1  0      0 185892  36892 786060    0    0     0   483 7292 13146 27  7 66  0  0
 0  0      0 183416  36912 788116    0    0     0   459 7214 13219 26  7 67  0  0
 4  0      0 182408  36944 789432    0    0     0   159 7285 13274 26  7 67  0  0
 1  1      0 161648  37064 808316    0    0     0   955 7473 13357 28  8 62  1  0
 3  1      0 132788  37112 836596    0    0     0  3080 7366 13094 27  8 47 17  0
 5  2      0 182936  37148 786288    0    0     0  1623 7399 13258 26  8 33 33  0
 4  0      0 187644  37240 782872    0    0     0   190 7326 13186 26  7 50 17  0
 1  0      0 187908  37260 783976    0    0     0   141 7288 13164 26  7 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 184340  37292 785268    0    0     0   192 7230 13047 27  7 66  0  0
 1  1      0 169572  37392 800108    0    0     0   898 7423 13484 26  7 65  1  0
 2  3      0 136472  37428 832068    0    0     0  1871 7460 13303 25  8 39 28  0
 2  1      0 172020  37536 797972    0    0     0  2423 7520 13253 26  8 40 26  0
 2  1      0 183288  37600 788932    0    0     0   461 7455 13308 26  7 57  9  0
 2  0      0 179448  37640 792828    0    0     0   431 7304 13275 26  7 66  1  0
 3  0      0 175320  37688 796716    0    0     0   473 7259 13180 26  7 67  0  0
 5  0      0 162780  37780 808264    0    0     0   846 7460 13389 27  8 65  1  0
 1  3      0 123116  37840 848504    0    0     0  3583 7539 13180 27  9 47 17  0
 1  3      0 176804  37872 792000    0    0     0  1116 7641 13237 26  8 32 34  0
 1  0      0 182464  37980 787696    0    0     0   411 7294 13116 26  8 48 18  0
 2  0      0 180808  38008 788876    0    0     0   460 7505 13361 27  8 65  1  0
 1  0      0 176792  38068 792744    0    0     0   489 7348 13148 25  8 67  0  0
 6  0      0 147008  38172 821112    0    0     0  1265 7541 13330 26  8 65  1  0
 4  2      0 139136  38208 828240    0    0     0  3662 7537 13204 26  8 46 20  0
 2  0      0 173456  38312 798660    0    0     0   168 7428 13152 27  8 58  7  0
 3  0      0 171376  38344 800012    0    0     0   457 7461 13287 27  8 65  0  0
 1  0      0 167440  38408 804676    0    0     0   157 7323 13158 26  7 66  0  0
 1  0      0 165908  38428 805828    0    0     0   468 7407 13303 27  7 66  0  0
 1  1      0 151324  38536 823340    0    0     0  1490 7380 13280 24  8 67  1  0
 1  3      0 125468  38584 846628    0    0     0  2695 7356 13079 25  8 52 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 179396  38668 794852    0    0     0  2231 7275 12907 25  8 40 27  0
 7  0      0 177748  38756 794560    0    0     0   482 7349 13173 27  7 64  3  0
 2  0      0 176604  38784 796960    0    0     0   460 7222 12988 26  7 67  0  0
 1  0      0 175148  38832 798364    0    0     0   134 7264 13103 26  7 66  0  0
 2  1      0 157728  38908 814884    0    0     0   917 7407 13336 26  8 65  1  0
 3  1      0 154324  33836 819728    0    0     0  2889 8092 13731 25  8 42 25  0
 7  0      0 207168  33932 768520    0    0     0  1440 7540 13302 24  8 57 11  0
 5  0      0 205800  33956 769680    0    0     0   128 7383 13271 25  7 69  0  0
 7  0      0 208008  33988 770632    0    0     0   203 7136 13021 25  7 68  0  0
 8  0      0 203540  34016 771956    0    0     0   184 7358 13259 25  7 69  0  0
 7  1      0 183684  34104 790580    0    0     0   903 7503 13424 25  7 66  2  0
 6  0      0 173712  34168 800944    0    0     0  3904 7497 13166 25  9 50 16  0
 9  0      0 204036  34220 770168    0    0     0   162 7427 13277 24  7 65  3  0
 4  0      0 197960  34272 774248    0    0     0   418 7353 13172 26  7 66  0  0
 4  0      0 198068  34312 775476    0    0     0   208 7419 13329 26  8 67  0  0
 5  0      0 197276  34340 776800    0    0     0   184 7341 13169 26  8 66  0  0
 8  1      0 180112  34428 793872    0    0     0   863 7486 13308 27  8 64  1  0
 5  1      0 185556  34492 787708    0    0     0  4322 7756 13310 27 10 51 12  0
 4  0      0 191784  34588 783072    0    0     0   181 7565 13366 27  8 62  3  0
 8  0      0 190080  34612 784304    0    0     0   458 7347 13214 25  7 68  0  0
 5  0      0 191724  34640 785444    0    0     0   188 7298 13161 25  7 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 190424  34668 786696    0    0     0   130 7251 13117 27  7 66  0  0
 3  1      0 172064  34748 803216    0    0     0  1021 7471 13332 26  8 65  1  0
 5  2      0 197324  34808 778352    0    0     0  3617 7544 13201 27  9 49 16  0
 4  0      0 202860  34904 774156    0    0     0   157 7453 13298 26  8 60  7  0
 6  0      0 199044  34916 775552    0    0     0   201 7275 13185 26  7 67  0  0
 9  0      0 197932  34944 776452    0    0     0   126 7250 13093 24  7 69  0  0
 5  0      0 197044  34976 777732    0    0     0   207 7261 13142 24  7 69  0  0
 4  1      0 179616  35068 793452    0    0     0   687 7507 13428 26  8 66  1  0
19  1      0 190072  35136 783964    0    0     0  3929 7611 13276 27  9 50 14  0
 5  0      0 193480  35192 781412    0    0     0   184 7153 13065 24  7 68  2  0
 5  0      0 192272  35212 782568    0    0     0   127 7219 13065 24  7 69  0  0
 5  0      0 191744  35248 783732    0    0     0   203 7239 13129 24  7 69  0  0
 2  0      0 189988  35276 785004    0    0     0   184 7316 13207 25  7 67  0  0
 1  1      0 166744  35356 807236    0    0     0  1421 7627 13511 28  8 63  1  0
 2  2      0 162800  35388 812588    0    0     0  4340 7526 13231 25  9 50 17  0
 2  0      0 205568  35480 770536    0    0     0   129 7384 13293 23  7 60 10  0
 1  0      0 204028  35508 771852    0    0     0   195 7500 13355 25  8 66  1  0
 1  0      0 202900  35536 772892    0    0     0   202 7435 13366 26  8 66  0  0
 0  0      0 202672  35560 774100    0    0     0   140 7538 13549 25  7 67  0  0
 6  1      0 185716  35664 790100    0    0     0   713 7683 13651 27  8 64  1  0
 0  1      0 195036  35720 778284    0    0     0  3926 7670 13351 27  9 49 14  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 194528  35764 777796    0    0     0   138 7402 13233 26  7 64  2  0
 2  0      0 194392  35796 778956    0    0     0   190 7457 13312 27  7 66  0  0
 3  0      0 192908  35812 779920    0    0     0   148 7454 13324 26  7 66  0  0
 0  0      0 191324  35832 781332    0    0     0   193 7444 13355 26  7 67  0  0
 4  2      0 162344  35916 807996    0    0     0  1864 8122 13993 26  8 65  1  0
 2  3      0 128540  35940 841788    0    0     0  2772 7561 13291 25  8 48 19  0
 1  0      0 196064  36032 776792    0    0     0   902 7630 13383 25  8 51 15  0
 1  0      0 195292  36052 777916    0    0     0   198 7480 13391 26  7 67  0  0
 2  0      0 193756  36068 779032    0    0     0   143 7300 13191 25  7 69  0  0
 1  0      0 191832  36096 780480    0    0     0   181 7296 13204 24  7 69  0  0
 1  1      0 172564  36200 799032    0    0     0   989 7618 13556 25  7 66  2  0
 3  2      0 147900  36248 822080    0    0     0  3882 7799 13468 26  9 42 23  0
 1  0      0 185480  36296 786464    0    0     0   204 7584 13435 25  7 63  5  0
 0  0      0 184800  36316 787548    0    0     0   138 7529 13475 26  7 67  0  0
 1  0      0 183592  36332 788696    0    0     0   185 7558 13399 26  7 67  0  0
 0  0      0 182144  36356 790100    0    0     0   130 7448 13350 26  7 66  0  0
 5  2      0 164532  36444 806156    0    0     0   792 7801 13687 27  8 63  2  0
 5  2      0 141532  36464 826336    0    0     0  3145 7794 13396 27  9 34 30  0
 2  0      0 177488  36552 794124    0    0     0  1817 7706 13488 25  8 50 17  0
 0  0      0 176348  36584 795068    0    0     0   154 7431 13317 25  8 68  0  0
 1  0      0 175136  36608 796364    0    0     0   182 7552 13440 26  8 67  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 174204  36640 797708    0    0     0   186 7502 13408 26  8 66  0  0
 4  1      0 157100  36740 813792    0    0     0   703 7718 13628 27  8 64  1  0
 3  1      0 144952  36852 820184    0    0    22  4637 7765 13490 27  9 49 14  0
 9  0      0 160196  36932 805908    0    0     0   495 7655 13514 26  8 61  5  0
 2  0      0 160724  36964 807344    0    0     0   183 7570 13532 26  7 66  0  0
 1  0      0 159108  36988 808684    0    0     0   197 7559 13445 26  7 67  0  0
 0  0      0 158584  37012 809776    0    0     0   188 7504 13466 26  7 67  0  0
 1  1      0 141016  37088 825540    0    0     0   990 7754 13685 29  8 62  1  0
 3  1      0  98876  37140 866644    0    0     0  3675 7826 13565 27  9 45 19  0
 2  0      0 146204  37292 820920    0    0     0   655 7843 13701 28  8 57  7  0
 8  0      0 143880  37304 822184    0    0     0   444 7572 13540 24  7 69  0  0
 0  0      0 143448  37316 825288    0    0     0   223 7575 13494 25  7 68  0  0
 1  0      0 141216  37320 826540    0    0     0   370 7606 13674 25  7 68  0  0
 4  0      0 122776  37328 845508    0    0     0   819 7759 13713 26  8 65  1  0
 1  0      0 136800  37416 831972    0    0     0  3645 7812 13683 24  9 57 11  0
 9  0      0 135188  37448 833068    0    0     0   196 7560 13526 24  7 68  1  0
 2  0      0 134848  37472 834364    0    0     0   147 7607 13622 26  7 67  0  0
 2  0      0 128400  37548 839832    0    0     0   570 7615 13527 27  7 65  0  0
 3  0      0 125764  37580 841136    0    0     0   200 7576 13533 26  7 67  0  0
 2  1      0 102764  37672 864736    0    0     0  1534 7670 13642 25  8 66  1  0
 3  2      0 100536  37708 864612    0    0     0  3200 7862 13681 24  9 52 14  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 132172  37808 834784    0    0     0  1497 8141 14005 26  8 61  6  0
 4  0      0 127080  37848 839188    0    0     0   155 7426 13324 26  8 67  0  0
 4  0      0 125608  37904 843364    0    0     0   720 7746 13684 25  7 67  0  0
 3  0      0 119632  37936 847404    0    0     0   405 7674 13597 25  8 67  0  0
 4  2      0 100908  38056 864216    0    0     0  1172 7580 13476 24  8 66  2  0
 1  2      0 108016  36832 856932    0    0     0  4367 7643 13368 25  8 44 23  0
 1  0      0 147156  36924 820164    0    0     0   203 7590 13434 24  7 62  7  0
 5  0      0 146208  36948 821488    0    0     0   406 7543 13481 24  7 69  0  0
 4  0      0 142892  36992 825160    0    0     0   442 7693 13590 26  7 67  0  0
 0  0      0 142180  37020 826312    0    0     0   197 7429 13415 24  7 69  0  0
 4  1      0 123592  37108 842808    0    0     0   990 7577 13572 24  7 67  1  0
 3  2      0 107732  37120 858488    0    0     0  3692 7688 13581 24  8 54 14  0
 7  0      0 142364  37208 825916    0    0     0   138 7575 13535 25  7 63  4  0
 2  0      0 138984  37228 827184    0    0     0   187 7625 13725 25  7 68  0  0
 4  0      0 139484  37244 828224    0    0     0   205 7532 13548 25  7 68  0  0
 0  0      0 137964  37272 829528    0    0     0   140 7581 13606 26  7 67  0  0
 6  0      0 115232  37420 851544    0    0     0  1000 8040 13909 29  8 61  2  0
 5  1      0 141912  37480 823144    0    0     0  4576 7979 13738 26  9 48 16  0
 1  0      0 146640  37536 820652    0    0     0   160 8014 13991 26  7 65  2  0
 2  0      0 145168  37548 821920    0    0     0   185 7612 13597 26  7 67  0  0
 1  0      0 140828  37612 826300    0    0     0   479 7711 13634 27  8 65  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 137608  37636 827456    0    0     0   226 7673 13673 26  7 67  0  0
 2  1      0 111152  37708 853744    0    0     0  1796 7533 13522 25  8 67  1  0
 4  0      0  87620  37760 878780    0    0     0  2786 7692 13536 25  8 54 14  0
 6  0      0 136484  37848 831072    0    0     0  1848 7552 13331 26  9 54 11  0
 2  0      0 135440  37872 832420    0    0     0   193 7432 13304 26  8 66  0  0
 2  0      0 135060  37892 833316    0    0     0   136 7542 13529 26  8 67  0  0
 0  0      0 133264  37908 834580    0    0     0   205 7405 13357 25  7 68  0  0
 3  1      0 116428  37980 850104    0    0     0  1419 7647 13595 26  8 65  1  0
 2  1      0 130224  38056 835932    0    0     0  4246 7690 13333 25  9 46 19  0
 2  0      0 143908  38096 823740    0    0     0   245 7373 13093 25  7 65  3  0
 1  0      0 142976  38132 825036    0    0     0   186 7366 13240 26  7 67  0  0
 1  0      0 141552  38164 826180    0    0     0   135 7380 13222 26  7 67  0  0
 3  0      0 140184  38184 827424    0    0     0   180 7347 13147 25  7 68  0  0
 6  1      0 124008  38288 842752    0    0     0   991 7521 13309 26  7 66  1  0
 2  1      0  94340  38304 870180    0    0     0  3110 7532 13267 25  8 53 13  0
 0  0      0 146636  38388 821916    0    0     0   982 7493 13215 27  8 53 12  0
 4  0      0 142436  38408 823336    0    0     0   154 7428 13284 27  7 65  1  0
 1  0      0 140860  38432 826964    0    0     0   456 7225 13047 27  7 66  0  0
 2  0      0 135632  38464 831116    0    0     0   415 7325 13113 27  7 66  0  0
 2  1      0 108800  38584 855904    0    0     0  1598 8196 13966 28  8 62  2  0
 2  2      0 115764  38616 849220    0    0     0  2553 7430 13135 27  9 51 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 135432  38664 830184    0    0     0  1376 7385 13154 27  8 34 31  0
 0  0      0 147044  38724 818772    0    0     0   216 7358 13281 26  7 57 10  0
 9  0      0 145028  38752 819948    0    0     0   138 7248 13075 26  7 66  1  0
 0  0      0 145396  38764 821252    0    0     0   179 7282 13121 27  7 66  0  0
 3  1      0 126916  38848 835636    0    0     0  1057 7436 13332 27  8 65  1  0
 2  1      0 109452  38880 855280    0    0     0  1699 7585 13326 27  8 47 18  0
 2  0      0 140696  38972 824940    0    0     0  1372 7322 12933 27  9 52 12  0
 4  0      0 139132  38996 826128    0    0     0   141 7460 13203 27  8 64  1  0
 1  0      0 138216  39032 827292    0    0     0   188 7185 12889 27  8 65  0  0
 1  0      0 135768  39060 828532    0    0     0   206 7310 13009 26  8 67  0  0
 2  1      0 121656  39136 843164    0    0     0  1381 7541 13260 28  8 62  1  0
