procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 295080  20596 727016    0    0     0   195 7518 13645 26  7 68  0  0
 5  0      0 270992  20740 750092    0    0     0  1186 7739 13833 26  7 66  0  0
 4  0      0 533752  20816 487360    0    0     1  3305 7941 13782 27 10 52 11  0
 1  0      0 533072  20852 488552    0    0     0   188 7510 13548 26  7 66  1  0
 1  0      0 531800  20884 489692    0    0     0   129 7572 13639 26  7 67  0  0
 3  0      0 530576  20924 490888    0    0     0   188 7627 13576 26  7 67  0  0
 1  0      0 529336  20948 492084    0    0     0   122 7484 13452 26  7 67  0  0
13  1      0 501180  21092 517940    0    0     1  1257 7915 13974 26  8 66  0  0
 7  1      0 460788  21140 558520    0    0     1  2951 7690 13518 26  8 47 19  0
 5  0      0 459716  21176 559356    0    0     0  1658 7681 13674 26  7 53 14  0
 3  0      0 460680  21212 560400    0    0     0   183 7363 13431 24  6 69  0  0
 2  0      0 459872  21248 561780    0    0     0   145 7404 13407 24  7 69  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 458788  21288 562900    0    0     0   184 7497 13453 25  7 68  0  0
 2  1      0 434576  21444 584792    0    0     1  1857 7761 13775 26  8 65  0  0
 7  1      0 389956  21488 628940    0    0     1  2857 7700 13599 26  8 52 14  0
 6  0      0 388988  21520 631880    0    0     0  1259 7787 13817 26  7 63  4  0
 5  0      0 388264  21552 632924    0    0     0   125 7675 13674 26  7 67  0  0
 1  0      0 386496  21588 634204    0    0     0   190 7548 13615 26  7 67  0  0
 1  0      0 385472  21628 635484    0    0     0   209 7724 13844 26  7 68  0  0
 1  1      0 364628  21768 655564    0    0     1  1202 7930 13974 27  8 65  1  0
 3  0      0 315084  21816 704304    0    0     1  4616 7910 13829 27  8 45 20  0
 1  0      0 317464  21840 705004    0    0     0   178 7609 13651 24  7 64  5  0
 3  0      0 314024  21876 706128    0    0     0   126 7669 13702 26  7 67  0  0
 4  0      0 313004  21916 707276    0    0     0   211 7513 13552 26  7 67  0  0
 1  0      0 311608  21948 708544    0    0     0   185 7714 13798 27  7 67  0  0
 1  1      0 278996  22136 733192    0    0     1  1451 7817 13914 27  8 64  1  0
 2  1      0 243528  22160 769012    0    0     1  2874 7783 13675 27  8 47 19  0
 3  0      0 480820  22268 532252    0    0     0  1578 7766 13628 27  9 57  8  0
 3  0      0 480048  22300 533404    0    0     0   200 7637 13691 26  7 67  0  0
 1  0      0 479796  22336 534676    0    0     0   195 7567 13615 26  7 67  0  0
 1  0      0 474528  22460 539672    0    0     0   421 7743 13695 29  8 64  0  0
 1  1      0 455244  22568 557216    0    0     0   913 7673 13706 28  8 65  0  0
10  1      0 399876  22716 610564    0    0     1  4463 7906 13728 28  8 44 19  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 401796  22752 611164    0    0     0   939 7797 13690 27  7 63  4  0
 1  0      0 400048  22788 612312    0    0     0   196 7486 13518 26  7 67  0  0
 1  0      0 401100  22824 613700    0    0     0   136 7490 13531 27  7 67  0  0
 1  0      0 397444  22856 614812    0    0     0   181 7551 13591 26  7 68  0  0
 3  1      0 371768  23008 639436    0    0     1  1190 7892 13990 27  8 65  0  0
 1  1      0 339928  23036 670944    0    0     1  3111 7805 13710 26  8 52 15  0
 2  0      0 327344  23084 682524    0    0     0  1582 7617 13642 26  7 65  2  0
 1  0      0 327280  23116 683896    0    0     0   135 7541 13631 25  7 68  0  0
 5  0      0 326100  23140 685180    0    0     0   204 7606 13590 26  7 67  0  0
 1  0      0 325496  23172 686332    0    0     0   184 7554 13588 25  7 68  0  0
