16时00分16秒,cpu,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%idle
16时01分16秒,3,58.95,0.00,4.43,0.00,0.00,0.00,0.00,0.00,36.62
16时01分21秒,all,40.70,0.00,5.89,1.68,0.00,0.25,0.00,0.00,51.47
16时01分21秒,0,23.75,0.00,14.37,0.00,0.00,1.04,0.00,0.00,60.83
16时01分21秒,1,43.98,0.00,0.80,0.00,0.00,0.00,0.00,0.00,55.22
16时01分21秒,2,38.95,0.00,4.46,6.69,0.00,0.00,0.00,0.00,49.90
16时01分21秒,3,55.82,0.00,4.22,0.00,0.00,0.00,0.00,0.00,39.96
16时01分26秒,all,39.61,0.00,5.55,0.00,0.00,0.25,0.00,0.00,54.58
16时01分26秒,0,21.22,0.00,13.03,0.00,0.00,0.84,0.00,0.00,64.92
16时01分26秒,1,46.09,0.00,0.80,0.00,0.00,0.00,0.00,0.00,53.11
16时01分26秒,2,33.13,0.00,4.91,0.00,0.00,0.00,0.00,0.00,61.96
16时01分26秒,3,56.83,0.00,3.82,0.00,0.00,0.00,0.00,0.00,39.36
16时01分31秒,all,36.74,0.00,5.75,0.05,0.00,0.36,0.00,0.00,57.10
16时01分31秒,0,20.80,0.00,13.24,0.00,0.00,1.47,0.00,0.00,64.50
16时01分31秒,1,41.16,0.00,0.40,0.00,0.00,0.00,0.00,0.00,58.43
16时01分31秒,2,32.93,0.00,5.28,0.20,0.00,0.00,0.00,0.00,61.59
16时01分31秒,3,51.61,0.00,4.22,0.20,0.00,0.00,0.00,0.00,43.98
16时01分36秒,all,37.05,0.00,5.45,0.00,0.00,0.25,0.00,0.00,57.24
16时01分36秒,0,21.55,0.00,11.92,0.00,0.00,1.26,0.00,0.00,65.27
16时01分36秒,1,42.28,0.00,0.80,0.00,0.00,0.20,0.00,0.00,56.71
16时01分36秒,2,34.01,0.00,5.91,0.00,0.00,0.00,0.00,0.00,60.08
16时01分36秒,3,49.50,0.00,3.62,0.00,0.00,0.00,0.00,0.00,46.88
16时01分41秒,all,35.68,0.00,5.96,0.05,0.00,0.31,0.00,0.00,58.00
16时01分41秒,0,20.92,0.00,14.64,0.00,0.00,1.26,0.00,0.00,63.18
16时01分41秒,1,41.97,0.00,0.60,0.00,0.00,0.00,0.00,0.00,57.43
16时01分41秒,2,32.86,0.00,4.69,0.20,0.00,0.00,0.00,0.00,62.24
16时01分41秒,3,46.37,0.00,4.03,0.00,0.00,0.00,0.00,0.00,49.60
16时01分46秒,all,35.77,0.00,5.77,0.05,0.00,0.26,0.00,0.00,58.16
16时01分46秒,0,19.75,0.00,13.03,0.00,0.00,1.05,0.00,0.00,66.18
16时01分46秒,1,41.97,0.00,0.60,0.00,0.00,0.00,0.00,0.00,57.43
16时01分46秒,2,32.45,0.00,6.12,0.20,0.00,0.00,0.00,0.00,61.22
16时01分46秒,3,47.98,0.00,3.83,0.00,0.00,0.00,0.00,0.00,48.19
16时01分51秒,all,36.79,0.00,6.41,0.10,0.00,0.36,0.00,0.00,56.34
16时01分51秒,0,21.34,0.00,15.69,0.00,0.00,1.26,0.00,0.00,61.72
16时01分51秒,1,40.48,0.00,0.80,0.00,0.00,0.00,0.00,0.00,58.72
16时01分51秒,2,32.11,0.00,5.69,0.41,0.00,0.00,0.00,0.00,61.79
16时01分51秒,3,52.73,0.00,3.64,0.00,0.00,0.00,0.00,0.00,43.64
16时01分56秒,all,37.70,0.00,5.84,0.05,0.00,0.30,0.00,0.00,56.10
16时01分56秒,0,25.52,0.00,12.13,0.00,0.00,1.46,0.00,0.00,60.88
16时01分56秒,1,41.28,0.00,0.80,0.00,0.00,0.00,0.00,0.00,57.92
16时01分56秒,2,32.86,0.00,6.49,0.20,0.00,0.00,0.00,0.00,60.45
16时01分56秒,3,50.80,0.00,4.22,0.00,0.00,0.00,0.00,0.00,44.98
16时02分01秒,all,36.76,0.00,6.52,2.70,0.00,0.36,0.00,0.00,53.67
16时02分01秒,0,23.53,0.00,15.76,10.92,0.00,1.26,0.00,0.00,48.53
16时02分01秒,1,41.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,58.00
16时02分01秒,2,33.13,0.00,6.50,0.00,0.00,0.00,0.00,0.00,60.37
16时02分01秒,3,48.39,0.00,3.83,0.00,0.00,0.00,0.00,0.00,47.78
16时02分06秒,all,35.71,0.00,7.88,13.63,0.00,0.36,0.00,0.00,42.42
16时02分06秒,0,22.29,0.00,20.42,55.83,0.00,1.46,0.00,0.00,0.00
16时02分06秒,1,42.05,0.00,0.20,0.00,0.00,0.00,0.00,0.00,57.75
16时02分06秒,2,32.32,0.00,6.30,0.20,0.00,0.00,0.00,0.00,61.18
16时02分06秒,3,45.66,0.00,4.85,0.00,0.00,0.00,0.00,0.00,49.49
16时02分11秒,all,35.74,0.00,7.28,9.06,0.00,0.36,0.00,0.00,47.56
16时02分11秒,0,22.76,0.00,17.12,36.74,0.00,1.46,0.00,0.00,21.92
16时02分11秒,1,41.16,0.00,0.80,0.00,0.00,0.00,0.00,0.00,58.03
16时02分11秒,2,32.93,0.00,6.50,0.20,0.00,0.00,0.00,0.00,60.37
16时02分11秒,3,45.86,0.00,5.05,0.00,0.00,0.00,0.00,0.00,49.09
16时02分16秒,all,36.04,0.00,5.77,0.00,0.00,0.31,0.00,0.00,57.89
