16时00分16秒,cpu,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%idle
16时05分06秒,3,55.85,0.00,6.25,0.00,0.00,0.00,0.00,0.00,37.90
16时05分11秒,all,37.49,0.00,7.14,2.58,0.00,0.41,0.00,0.00,52.38
16时05分11秒,0,22.11,0.00,16.12,10.54,0.00,1.65,0.00,0.00,49.59
16时05分11秒,1,39.36,0.00,0.80,0.00,0.00,0.00,0.00,0.00,59.84
16时05分11秒,2,31.64,0.00,6.90,0.00,0.00,0.00,0.00,0.00,61.46
16时05分11秒,3,56.34,0.00,4.83,0.00,0.00,0.00,0.00,0.00,38.83
16时05分16秒,all,35.40,0.00,6.15,1.02,0.00,0.36,0.00,0.00,57.08
16时05分16秒,0,21.37,0.00,13.90,0.00,0.00,1.45,0.00,0.00,63.28
16时05分16秒,1,37.68,0.00,0.60,4.21,0.00,0.00,0.00,0.00,57.52
16时05分16秒,2,31.71,0.00,6.10,0.00,0.00,0.00,0.00,0.00,62.20
16时05分16秒,3,50.50,0.00,4.23,0.00,0.00,0.00,0.00,0.00,45.27
16时05分21秒,all,34.84,0.00,6.18,0.05,0.00,0.46,0.00,0.00,58.48
16时05分21秒,0,21.03,0.00,15.26,0.00,0.00,1.86,0.00,0.00,61.86
16时05分21秒,1,38.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,61.00
16时05分21秒,2,32.11,0.00,4.47,0.00,0.00,0.00,0.00,0.00,63.41
16时05分21秒,3,47.39,0.00,4.82,0.00,0.00,0.00,0.00,0.00,47.79
16时05分26秒,all,34.79,0.00,5.95,0.00,0.00,0.31,0.00,0.00,58.95
16时05分26秒,0,20.54,0.00,13.28,0.21,0.00,1.04,0.00,0.00,64.94
16时05分26秒,1,38.43,0.00,0.40,0.00,0.00,0.00,0.00,0.00,61.17
16时05分26秒,2,31.03,0.00,5.07,0.00,0.00,0.00,0.00,0.00,63.89
16时05分26秒,3,48.69,0.00,5.45,0.00,0.00,0.00,0.00,0.00,45.86
16时05分31秒,all,35.07,0.00,6.18,0.05,0.00,0.30,0.00,0.00,58.39
16时05分31秒,0,20.78,0.00,13.99,0.21,0.00,1.44,0.00,0.00,63.58
16时05分31秒,1,38.35,0.00,0.60,0.00,0.00,0.00,0.00,0.00,61.04
16时05分31秒,2,31.10,0.00,5.69,0.00,0.00,0.00,0.00,0.00,63.21
16时05分31秒,3,49.60,0.00,4.42,0.00,0.00,0.00,0.00,0.00,45.98
16时05分36秒,all,34.99,0.00,5.92,0.05,0.00,0.35,0.00,0.00,58.68
16时05分36秒,0,20.29,0.00,13.73,0.20,0.00,1.23,0.00,0.00,64.55
16时05分36秒,1,37.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,62.20
16时05分36秒,2,31.84,0.00,5.31,0.00,0.00,0.00,0.00,0.00,62.86
16时05分36秒,3,50.60,0.00,4.03,0.00,0.00,0.00,0.00,0.00,45.36
16时05分41秒,all,35.62,0.00,5.95,0.05,0.00,0.30,0.00,0.00,58.08
16时05分41秒,0,21.24,0.00,13.61,0.21,0.00,1.44,0.00,0.00,63.51
16时05分41秒,1,38.23,0.00,0.60,0.00,0.00,0.00,0.00,0.00,61.17
16时05分41秒,2,32.11,0.00,5.49,0.00,0.00,0.00,0.00,0.00,62.40
16时05分41秒,3,50.60,0.00,4.23,0.00,0.00,0.00,0.00,0.00,45.16
16时05分46秒,all,35.92,0.00,5.89,0.05,0.00,0.25,0.00,0.00,57.89
16时05分46秒,0,22.11,0.00,13.22,0.00,0.00,1.03,0.00,0.00,63.64
16时05分46秒,1,38.15,0.00,0.40,0.00,0.00,0.00,0.00,0.00,61.45
16时05分46秒,2,32.72,0.00,5.73,0.20,0.00,0.00,0.00,0.00,61.35
16时05分46秒,3,50.40,0.00,4.22,0.00,0.00,0.00,0.00,0.00,45.38
16时05分51秒,all,36.04,0.00,6.40,0.10,0.00,0.30,0.00,0.00,57.16
16时05分51秒,0,23.86,0.00,14.32,0.41,0.00,1.24,0.00,0.00,60.17
16时05分51秒,1,37.68,0.00,0.80,0.00,0.00,0.00,0.00,0.00,61.52
16时05分51秒,2,32.18,0.00,5.91,0.00,0.00,0.00,0.00,0.00,61.91
16时05分51秒,3,49.80,0.00,5.02,0.00,0.00,0.00,0.00,0.00,45.18
16时05分56秒,all,34.63,0.00,5.35,0.00,0.00,0.36,0.00,0.00,59.66
16时05分56秒,0,21.00,0.00,12.06,0.00,0.00,1.46,0.00,0.00,65.49
16时05分56秒,1,37.83,0.00,0.60,0.00,0.00,0.00,0.00,0.00,61.57
16时05分56秒,2,31.22,0.00,4.90,0.20,0.00,0.00,0.00,0.00,63.67
16时05分56秒,3,47.98,0.00,4.05,0.00,0.00,0.00,0.00,0.00,47.98
16时06分01秒,all,36.17,0.00,6.78,2.60,0.00,0.31,0.00,0.00,54.15
16时06分01秒,0,22.71,0.00,15.83,10.62,0.00,1.25,0.00,0.00,49.58
16时06分01秒,1,38.96,0.00,0.60,0.00,0.00,0.00,0.00,0.00,60.44
16时06分01秒,2,31.84,0.00,6.33,0.00,0.00,0.00,0.00,0.00,61.84
16时06分01秒,3,50.71,0.00,4.65,0.00,0.00,0.00,0.00,0.00,44.65
16时06分06秒,all,36.94,0.00,8.74,13.16,0.00,0.51,0.00,0.00,40.65
16时06分06秒,0,23.49,0.00,21.00,53.64,0.00,1.87,0.00,0.00,0.00
16时06分06秒,1,38.23,0.00,0.40,0.00,0.00,0.00,0.00,0.00,61.37
16时06分06秒,2,32.52,0.00,6.13,0.00,0.00,0.00,0.00,0.00,61.35
16时06分06秒,3,53.32,0.00,7.44,0.00,0.00,0.00,0.00,0.00,39.24
16时06分11秒,all,35.94,0.00,7.17,8.03,0.00,0.36,0.00,0.00,48.50
16时06分11秒,0,21.78,0.00,17.43,32.78,0.00,1.66,0.00,0.00,26.35
16时06分11秒,1,38.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,61.20
16时06分11秒,2,31.78,0.00,6.07,0.20,0.00,0.00,0.00,0.00,61.94
16时06分11秒,3,51.51,0.00,5.03,0.00,0.00,0.00,0.00,0.00,43.46
16时06分16秒,all,37.41,0.00,6.35,0.15,0.00,0.30,0.00,0.00,55.79
16时06分16秒,0,22.55,0.00,14.41,0.00,0.00,1.25,0.00,0.00,61.80
16时06分16秒,1,39.68,0.00,0.60,0.00,0.00,0.00,0.00,0.00,59.72
16时06分16秒,2,36.99,0.00,6.30,0.41,0.00,0.00,0.00,0.00,56.30
16时06分16秒,3,49.60,0.00,4.42,0.00,0.00,0.00,0.00,0.00,45.98
16时06分21秒,all,42.30,0.00,6.15,0.05,0.00,0.41,0.00,0.00,51.09
16时06分21秒,0,23.38,0.00,13.36,0.00,0.00,1.67,0.00,0.00,61.59
16时06分21秒,1,56.74,0.00,0.20,0.00,0.00,0.00,0.00,0.00,43.06
16时06分21秒,2,33.54,0.00,6.91,0.20,0.00,0.00,0.00,0.00,59.35
16时06分21秒,3,55.22,0.00,4.22,0.00,0.00,0.00,0.00,0.00,40.56
16时06分26秒,all,42.49,0.00,6.06,0.10,0.00,0.31,0.00,0.00,51.04
16时06分26秒,0,20.88,0.00,13.57,0.00,0.00,1.25,0.00,0.00,64.30
16时06分26秒,1,53.91,0.00,0.80,0.00,0.00,0.00,0.00,0.00,45.29
16时06分26秒,2,37.20,0.00,5.89,0.41,0.00,0.00,0.00,0.00,56.50
16时06分26秒,3,56.85,0.00,4.44,0.00,0.00,0.00,0.00,0.00,38.71
16时06分31秒,all,40.47,0.00,5.86,0.05,0.00,0.31,0.00,0.00,53.31
16时06分31秒,0,20.00,0.00,13.05,0.00,0.00,1.05,0.00,0.00,65.89
16时06分31秒,1,49.30,0.00,0.80,0.00,0.00,0.00,0.00,0.00,49.90
16时06分31秒,2,31.77,0.00,5.70,0.20,0.00,0.00,0.00,0.00,62.32
16时06分31秒,3,60.04,0.00,4.42,0.00,0.00,0.00,0.00,0.00,35.54
16时06分36秒,all,45.65,0.00,6.36,0.05,0.00,0.31,0.00,0.00,47.63
16时06分36秒,0,21.71,0.00,13.57,0.00,0.00,1.46,0.00,0.00,63.26
16时06分36秒,1,59.15,0.00,0.80,0.00,0.00,0.00,0.00,0.00,40.04
16时06分36秒,2,39.10,0.00,6.92,0.20,0.00,0.00,0.00,0.00,53.77
16时06分36秒,3,61.45,0.00,4.02,0.00,0.00,0.00,0.00,0.00,34.54
16时06分41秒,all,45.52,0.00,6.92,0.15,0.00,1.32,0.00,0.00,46.08
16时06分41秒,0,23.80,0.00,15.03,0.00,0.00,5.43,0.00,0.00,55.74
16时06分41秒,1,53.41,0.00,0.80,0.00,0.00,0.00,0.00,0.00,45.78
16时06分41秒,2,36.25,0.00,7.94,0.61,0.00,0.00,0.00,0.00,55.19
16时06分41秒,3,67.47,0.00,4.62,0.00,0.00,0.00,0.00,0.00,27.91
16时06分46秒,all,44.62,0.00,6.55,0.10,0.00,0.61,0.00,0.00,48.12
16时06分46秒,0,26.09,0.00,16.15,0.00,0.00,2.48,0.00,0.00,55.28
16时06分46秒,1,53.21,0.00,0.60,0.00,0.00,0.00,0.00,0.00,46.18
16时06分46秒,2,33.67,0.00,5.51,0.41,0.00,0.00,0.00,0.00,60.41
16时06分46秒,3,64.99,0.00,3.82,0.00,0.00,0.00,0.00,0.00,31.19
16时06分51秒,all,46.05,0.00,6.57,0.41,0.00,0.31,0.00,0.00,46.66
16时06分51秒,0,24.01,0.00,16.08,0.00,0.00,1.25,0.00,0.00,58.66
16时06分51秒,1,54.33,0.00,0.80,0.00,0.00,0.00,0.00,0.00,44.87
16时06分51秒,2,38.90,0.00,5.70,1.83,0.00,0.00,0.00,0.00,53.56
16时06分51秒,3,66.00,0.00,4.23,0.00,0.00,0.00,0.00,0.00,29.78
16时06分56秒,all,43.72,0.00,6.25,0.15,0.00,0.41,0.00,0.00,49.47
16时06分56秒,0,25.93,0.00,13.69,0.00,0.00,1.66,0.00,0.00,58.71
16时06分56秒,1,51.70,0.00,0.40,0.00,0.00,0.00,0.00,0.00,47.90
16时06分56秒,2,33.95,0.00,5.93,0.41,0.00,0.00,0.00,0.00,59.71
16时06分56秒,3,62.78,0.00,5.03,0.00,0.00,0.00,0.00,0.00,32.19
16时07分01秒,all,43.10,0.00,7.02,2.80,0.00,0.31,0.00,0.00,46.77
16时07分01秒,0,24.48,0.00,17.84,10.37,0.00,1.24,0.00,0.00,46.06
16时07分01秒,1,50.20,0.00,1.00,0.00,0.00,0.00,0.00,0.00,48.80
16时07分01秒,2,33.68,0.00,5.13,1.03,0.00,0.00,0.00,0.00,60.16
16时07分01秒,3,63.43,0.00,4.44,0.00,0.00,0.00,0.00,0.00,32.12
16时07分06秒,all,43.40,0.00,8.56,12.94,0.00,0.36,0.00,0.00,34.74
16时07分06秒,0,25.10,0.00,20.71,52.93,0.00,1.26,0.00,0.00,0.00
16时07分06秒,1,50.60,0.00,0.60,0.00,0.00,0.00,0.00,0.00,48.80
16时07分06秒,2,32.18,0.00,8.35,0.20,0.00,0.00,0.00,0.00,59.27
16时07分06秒,3,64.99,0.00,5.03,0.00,0.00,0.00,0.00,0.00,29.98
16时07分11秒,all,44.80,0.00,7.46,3.40,0.00,0.30,0.00,0.00,44.04
16时07分11秒,0,24.74,0.00,17.32,13.81,0.00,1.44,0.00,0.00,42.68
16时07分11秒,1,47.49,0.00,0.60,0.00,0.00,0.00,0.00,0.00,51.90
16时07分11秒,2,39.67,0.00,6.95,0.00,0.00,0.00,0.00,0.00,53.37
16时07分11秒,3,66.73,0.00,5.04,0.00,0.00,0.00,0.00,0.00,28.23
16时07分16秒,all,41.51,0.00,6.15,1.53,0.00,0.31,0.00,0.00,50.51
16时07分16秒,0,21.95,0.00,13.87,5.59,0.00,1.24,0.00,0.00,57.35
16时07分16秒,1,52.91,0.00,0.60,0.00,0.00,0.00,0.00,0.00,46.49
16时07分16秒,2,32.59,0.00,6.52,0.61,0.00,0.00,0.00,0.00,60.29
16时07分16秒,3,57.58,0.00,4.24,0.00,0.00,0.00,0.00,0.00,38.18
16时07分21秒,all,40.90,0.00,6.10,0.00,0.00,0.30,0.00,0.00,52.69
16时07分21秒,0,21.74,0.00,13.46,0.00,0.00,1.24,0.00,0.00,63.56
16时07分21秒,1,50.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,49.09
16时07分21秒,2,34.69,0.00,6.73,0.00,0.00,0.00,0.00,0.00,58.57
16时07分21秒,3,56.11,0.00,4.01,0.00,0.00,0.00,0.00,0.00,39.88
16时07分26秒,all,40.27,0.00,6.28,0.05,0.00,0.25,0.00,0.00,53.14
16时07分26秒,0,21.86,0.00,14.64,0.00,0.00,1.03,0.00,0.00,62.47
16时07分26秒,1,49.30,0.00,0.40,0.00,0.00,0.00,0.00,0.00,50.30
16时07分26秒,2,33.00,0.00,6.48,0.20,0.00,0.00,0.00,0.00,60.32
16时07分26秒,3,56.57,0.00,3.64,0.00,0.00,0.00,0.00,0.00,39.80
16时07分31秒,all,39.44,0.00,5.90,0.05,0.00,0.25,0.00,0.00,54.35
16时07分31秒,0,21.97,0.00,14.02,0.00,0.00,1.05,0.00,0.00,62.97
16时07分31秒,1,49.10,0.00,0.80,0.00,0.00,0.00,0.00,0.00,50.10
16时07分31秒,2,32.79,0.00,5.50,0.20,0.00,0.00,0.00,0.00,61.51
16时07分31秒,3,53.01,0.00,3.82,0.00,0.00,0.00,0.00,0.00,43.17
16时07分36秒,all,39.09,0.00,5.76,0.00,0.00,0.31,0.00,0.00,54.84
16时07分36秒,0,21.38,0.00,13.00,0.00,0.00,1.26,0.00,0.00,64.36
16时07分36秒,1,46.88,0.00,0.40,0.00,0.00,0.00,0.00,0.00,52.72
16时07分36秒,2,33.06,0.00,5.92,0.00,0.00,0.00,0.00,0.00,61.02
16时07分36秒,3,54.23,0.00,3.83,0.00,0.00,0.00,0.00,0.00,41.94
16时07分41秒,all,39.60,0.00,5.76,0.05,0.00,0.25,0.00,0.00,54.33
16时07分41秒,0,22.15,0.00,12.87,0.00,0.00,0.84,0.00,0.00,64.14
16时07分41秒,1,47.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,52.20
16时07分41秒,2,33.54,0.00,5.49,0.20,0.00,0.00,0.00,0.00,60.77
16时07分41秒,3,55.04,0.00,4.44,0.00,0.00,0.00,0.00,0.00,40.52
16时07分46秒,all,39.89,0.00,5.92,0.31,0.00,0.31,0.00,0.00,53.58
16时07分46秒,0,21.05,0.00,13.89,0.00,0.00,1.47,0.00,0.00,63.58
16时07分46秒,1,47.19,0.00,0.20,0.00,0.00,0.00,0.00,0.00,52.61
16时07分46秒,2,32.65,0.00,5.71,1.22,0.00,0.00,0.00,0.00,60.41
16时07分46秒,3,57.86,0.00,4.23,0.00,0.00,0.00,0.00,0.00,37.90
16时07分51秒,all,39.94,0.00,6.16,0.05,0.00,0.25,0.00,0.00,53.59
16时07分51秒,0,22.59,0.00,14.23,0.00,0.00,1.05,0.00,0.00,62.13
16时07分51秒,1,47.29,0.00,0.60,0.00,0.00,0.00,0.00,0.00,52.10
16时07分51秒,2,32.65,0.00,5.92,0.20,0.00,0.00,0.00,0.00,61.22
16时07分51秒,3,56.05,0.00,4.23,0.00,0.00,0.00,0.00,0.00,39.72
16时07分56秒,all,40.56,0.00,5.82,0.10,0.00,0.36,0.00,0.00,53.16
16时07分56秒,0,24.37,0.00,13.45,0.00,0.00,1.47,0.00,0.00,60.71
16时07分56秒,1,47.90,0.00,0.40,0.00,0.00,0.00,0.00,0.00,51.70
16时07分56秒,2,33.74,0.00,5.52,0.20,0.00,0.00,0.00,0.00,60.53
16时07分56秒,3,55.76,0.00,4.04,0.00,0.00,0.00,0.00,0.00,40.20
16时08分01秒,all,41.30,0.00,6.53,3.06,0.00,0.41,0.00,0.00,48.70
16时08分01秒,0,22.22,0.00,14.05,12.58,0.00,1.68,0.00,0.00,49.48
16时08分01秒,1,49.30,0.00,0.80,0.00,0.00,0.00,0.00,0.00,49.90
16时08分01秒,2,33.74,0.00,7.16,0.20,0.00,0.00,0.00,0.00,58.90
16时08分01秒,3,58.79,0.00,4.65,0.00,0.00,0.00,0.00,0.00,36.57
16时08分06秒,all,44.17,0.00,8.91,12.06,0.00,0.41,0.00,0.00,34.45
16时08分06秒,0,25.62,0.00,23.54,49.38,0.00,1.46,0.00,0.00,0.00
16时08分06秒,1,51.70,0.00,0.80,0.00,0.00,0.00,0.00,0.00,47.49
16时08分06秒,2,34.97,0.00,6.75,0.00,0.00,0.00,0.00,0.00,58.28
16时08分06秒,3,63.71,0.00,5.04,0.00,0.00,0.00,0.00,0.00,31.25
16时08分11秒,all,44.09,0.00,6.87,9.06,0.00,0.25,0.00,0.00,39.71
16时08分11秒,0,22.55,0.00,16.70,37.16,0.00,1.25,0.00,0.00,22.34
16时08分11秒,1,51.51,0.00,0.40,0.00,0.00,0.00,0.00,0.00,48.09
16时08分11秒,2,34.01,0.00,5.91,0.00,0.00,0.00,0.00,0.00,60.08
16时08分11秒,3,66.93,0.00,5.01,0.00,0.00,0.00,0.00,0.00,28.06
16时08分16秒,all,43.20,0.00,5.91,0.66,0.00,0.36,0.00,0.00,49.87
16时08分16秒,0,22.59,0.00,13.39,0.00,0.00,1.46,0.00,0.00,62.55
16时08分16秒,1,53.21,0.00,0.40,0.00,0.00,0.00,0.00,0.00,46.39
16时08分16秒,2,32.99,0.00,5.30,0.00,0.00,0.00,0.00,0.00,61.71
16时08分16秒,3,63.31,0.00,4.64,2.62,0.00,0.00,0.00,0.00,29.44
16时08分21秒,all,42.09,0.00,6.20,0.10,0.00,0.36,0.00,0.00,51.25
16时08分21秒,0,22.38,0.00,13.39,0.00,0.00,1.46,0.00,0.00,62.76
16时08分21秒,1,49.70,0.00,0.80,0.00,0.00,0.00,0.00,0.00,49.50
16时08分21秒,2,33.60,0.00,6.72,0.20,0.00,0.00,0.00,0.00,59.47
16时08分21秒,3,62.10,0.00,4.23,0.00,0.00,0.00,0.00,0.00,33.67
16时08分26秒,all,41.90,0.00,5.96,0.00,0.00,0.31,0.00,0.00,51.83
16时08分26秒,0,21.17,0.00,13.00,0.00,0.00,1.26,0.00,0.00,64.57
16时08分26秒,1,46.49,0.00,1.00,0.00,0.00,0.00,0.00,0.00,52.51
16时08分26秒,2,33.27,0.00,5.51,0.20,0.00,0.00,0.00,0.00,61.02
16时08分26秒,3,65.59,0.00,4.43,0.00,0.00,0.00,0.00,0.00,29.98
16时08分31秒,all,42.62,0.00,5.90,0.05,0.00,0.31,0.00,0.00,51.12
16时08分31秒,0,21.17,0.00,13.63,0.00,0.00,1.26,0.00,0.00,63.94
16时08分31秒,1,54.62,0.00,0.60,0.00,0.00,0.00,0.00,0.00,44.78
16时08分31秒,2,33.33,0.00,5.89,0.00,0.00,0.00,0.00,0.00,60.77
16时08分31秒,3,60.32,0.00,4.01,0.00,0.00,0.00,0.00,0.00,35.67
16时08分36秒,all,41.16,0.00,5.81,0.00,0.00,0.31,0.00,0.00,52.73
16时08分36秒,0,21.59,0.00,14.26,0.00,0.00,1.26,0.00,0.00,62.89
16时08分36秒,1,51.61,0.00,0.40,0.00,0.00,0.00,0.00,0.00,47.99
16时08分36秒,2,32.05,0.00,5.27,0.20,0.00,0.00,0.00,0.00,62.47
16时08分36秒,3,58.55,0.00,3.62,0.00,0.00,0.00,0.00,0.00,37.83
16时08分41秒,all,40.78,0.00,5.75,0.00,0.00,0.36,0.00,0.00,53.11
16时08分41秒,0,20.00,0.00,12.21,0.00,0.00,1.47,0.00,0.00,66.32
16时08分41秒,1,49.80,0.00,0.60,0.00,0.00,0.00,0.00,0.00,49.60
16时08分41秒,2,33.13,0.00,5.69,0.00,0.00,0.00,0.00,0.00,61.18
16时08分41秒,3,59.24,0.00,4.62,0.00,0.00,0.00,0.00,0.00,36.14
16时08分46秒,all,40.64,0.00,6.05,0.05,0.00,0.31,0.00,0.00,52.95
16时08分46秒,0,22.87,0.00,14.14,0.00,0.00,1.25,0.00,0.00,61.75
16时08分46秒,1,48.59,0.00,0.60,0.00,0.00,0.00,0.00,0.00,50.80
16时08分46秒,2,31.36,0.00,4.89,0.20,0.00,0.00,0.00,0.00,63.54
16时08分46秒,3,59.07,0.00,4.84,0.00,0.00,0.00,0.00,0.00,36.09
16时08分51秒,all,40.91,0.00,6.11,0.10,0.00,0.36,0.00,0.00,52.52
16时08分51秒,0,23.22,0.00,15.06,0.00,0.00,1.46,0.00,0.00,60.25
16时08分51秒,1,47.99,0.00,0.40,0.00,0.00,0.00,0.00,0.00,51.61
16时08分51秒,2,32.04,0.00,5.10,0.41,0.00,0.00,0.00,0.00,62.45
16时08分51秒,3,59.36,0.00,4.43,0.00,0.00,0.00,0.00,0.00,36.22
16时08分56秒,all,41.04,0.00,5.45,0.05,0.00,0.36,0.00,0.00,53.11
16时08分56秒,0,22.85,0.00,11.74,0.00,0.00,1.26,0.00,0.00,64.15
16时08分56秒,1,48.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,51.10
16时08分56秒,2,31.98,0.00,6.11,0.20,0.00,0.00,0.00,0.00,61.71
16时08分56秒,3,60.16,0.00,3.82,0.00,0.00,0.00,0.00,0.00,36.02
16时09分01秒,all,40.86,0.00,6.52,2.70,0.00,0.25,0.00,0.00,49.67
16时09分01秒,0,22.38,0.00,14.64,11.09,0.00,1.05,0.00,0.00,50.84
16时09分01秒,1,49.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,50.00
16时09分01秒,2,33.67,0.00,6.33,0.00,0.00,0.00,0.00,0.00,60.00
16时09分01秒,3,57.58,0.00,4.24,0.00,0.00,0.00,0.00,0.00,38.18
16时09分06秒,all,41.90,0.00,9.11,12.73,0.00,0.31,0.00,0.00,35.95
16时09分06秒,0,23.44,0.00,23.44,51.66,0.00,1.45,0.00,0.00,0.00
16时09分06秒,1,50.20,0.00,1.20,0.00,0.00,0.00,0.00,0.00,48.59
16时09分06秒,2,32.85,0.00,6.78,0.00,0.00,0.00,0.00,0.00,60.37
16时09分06秒,3,60.36,0.00,5.63,0.00,0.00,0.00,0.00,0.00,34.00
16时09分11秒,all,40.49,0.00,6.22,6.27,0.00,0.31,0.00,0.00,46.71
16时09分11秒,0,21.55,0.00,14.23,25.52,0.00,1.05,0.00,0.00,37.66
16时09分11秒,1,49.30,0.00,0.60,0.00,0.00,0.00,0.00,0.00,50.10
16时09分11秒,2,31.50,0.00,5.69,0.20,0.00,0.00,0.00,0.00,62.60
16时09分11秒,3,59.07,0.00,4.64,0.00,0.00,0.00,0.00,0.00,36.29
16时09分16秒,all,40.15,0.00,5.75,0.05,0.00,0.36,0.00,0.00,53.69
16时09分16秒,0,21.55,0.00,13.81,0.21,0.00,1.46,0.00,0.00,62.97
16时09分16秒,1,47.90,0.00,0.60,0.00,0.00,0.00,0.00,0.00,51.50
16时09分16秒,2,31.36,0.00,5.09,0.20,0.00,0.20,0.00,0.00,63.14
16时09分16秒,3,58.63,0.00,3.82,0.00,0.00,0.00,0.00,0.00,37.55
16时09分21秒,all,40.91,0.00,5.46,0.00,0.00,0.26,0.00,0.00,53.37
16时09分21秒,0,21.64,0.00,12.61,0.00,0.00,1.26,0.00,0.00,64.50
16时09分21秒,1,49.09,0.00,0.40,0.00,0.00,0.00,0.00,0.00,50.50
16时09分21秒,2,32.17,0.00,5.12,0.00,0.00,0.00,0.00,0.00,62.70
16时09分21秒,3,59.56,0.00,4.02,0.00,0.00,0.00,0.00,0.00,36.42
16时09分26秒,all,40.35,0.00,5.76,0.05,0.00,0.31,0.00,0.00,53.54
16时09分26秒,0,21.10,0.00,12.66,0.00,0.00,1.05,0.00,0.00,65.19
16时09分26秒,1,48.50,0.00,0.60,0.00,0.00,0.00,0.00,0.00,50.90
16时09分26秒,2,31.71,0.00,6.10,0.20,0.00,0.00,0.00,0.00,61.99
16时09分26秒,3,59.36,0.00,3.82,0.00,0.00,0.00,0.00,0.00,36.82
16时09分31秒,all,41.56,0.00,6.15,0.05,0.00,0.31,0.00,0.00,51.93
16时09分31秒,0,20.95,0.00,14.11,0.00,0.00,1.24,0.00,0.00,63.69
16时09分31秒,1,48.39,0.00,0.80,0.00,0.00,0.00,0.00,0.00,50.80
16时09分31秒,2,33.13,0.00,6.34,0.00,0.00,0.00,0.00,0.00,60.53
16时09分31秒,3,63.16,0.00,3.85,0.00,0.00,0.00,0.00,0.00,33.00
16时09分36秒,all,41.03,0.00,5.45,0.00,0.00,0.31,0.00,0.00,53.21
16时09分36秒,0,22.64,0.00,10.90,0.00,0.00,1.26,0.00,0.00,65.20
16时09分36秒,1,45.18,0.00,0.40,0.00,0.00,0.00,0.00,0.00,54.42
16时09分36秒,2,32.99,0.00,5.91,0.20,0.00,0.00,0.00,0.00,60.90
16时09分36秒,3,62.37,0.00,4.63,0.00,0.00,0.00,0.00,0.00,33.00
16时09分41秒,all,40.64,0.00,6.22,0.00,0.00,0.36,0.00,0.00,52.78
16时09分41秒,0,21.22,0.00,14.08,0.00,0.00,1.47,0.00,0.00,63.24
16时09分41秒,1,44.80,0.00,1.00,0.00,0.00,0.00,0.00,0.00,54.20
16时09分41秒,2,33.74,0.00,5.11,0.00,0.00,0.00,0.00,0.00,61.15
16时09分41秒,3,61.85,0.00,5.02,0.00,0.00,0.00,0.00,0.00,33.13
16时09分46秒,all,41.10,0.00,6.07,0.00,0.00,0.31,0.00,0.00,52.52
16时09分46秒,0,21.85,0.00,13.66,0.00,0.00,1.26,0.00,0.00,63.24
16时09分46秒,1,44.67,0.00,0.60,0.00,0.00,0.00,0.00,0.00,54.73
16时09分46秒,2,32.59,0.00,6.31,0.00,0.00,0.00,0.00,0.00,61.10
16时09分46秒,3,64.31,0.00,4.23,0.00,0.00,0.00,0.00,0.00,31.45
16时09分51秒,all,41.03,0.00,6.07,0.05,0.00,0.31,0.00,0.00,52.55
16时09分51秒,0,22.95,0.00,13.47,0.00,0.00,1.05,0.00,0.00,62.53
16时09分51秒,1,45.18,0.00,0.60,0.00,0.00,0.00,0.00,0.00,54.22
16时09分51秒,2,32.99,0.00,5.91,0.20,0.00,0.00,0.00,0.00,60.90
16时09分51秒,3,62.17,0.00,4.43,0.00,0.00,0.00,0.00,0.00,33.40
16时09分56秒,all,41.93,0.00,6.16,0.05,0.00,0.31,0.00,0.00,51.55
16时09分56秒,0,24.37,0.00,14.50,0.00,0.00,1.47,0.00,0.00,59.66
16时09分56秒,1,44.89,0.00,0.80,0.00,0.00,0.00,0.00,0.00,54.31
16时09分56秒,2,33.94,0.00,5.49,0.20,0.00,0.00,0.00,0.00,60.37
16时09分56秒,3,63.58,0.00,4.23,0.00,0.00,0.00,0.00,0.00,32.19
16时10分01秒,all,41.10,0.00,6.58,2.60,0.00,0.31,0.00,0.00,49.41
16时10分01秒,0,21.85,0.00,14.92,10.71,0.00,1.26,0.00,0.00,51.26
16时10分01秒,1,45.38,0.00,0.60,0.00,0.00,0.00,0.00,0.00,54.02
16时10分01秒,2,33.88,0.00,6.94,0.00,0.00,0.00,0.00,0.00,59.18
16时10分01秒,3,62.58,0.00,4.23,0.00,0.00,0.00,0.00,0.00,33.20
16时10分06秒,all,41.75,0.00,8.50,13.29,0.00,0.36,0.00,0.00,36.10
16时10分06秒,0,23.85,0.00,20.08,54.60,0.00,1.46,0.00,0.00,0.00
16时10分06秒,1,46.89,0.00,1.20,0.00,0.00,0.00,0.00,0.00,51.90
16时10分06秒,2,31.98,0.00,8.15,0.00,0.00,0.00,0.00,0.00,59.88
16时10分06秒,3,63.25,0.00,5.02,0.00,0.00,0.00,0.00,0.00,31.73
16时10分11秒,all,41.79,0.00,6.93,7.65,0.00,0.31,0.00,0.00,43.32
16时10分11秒,0,23.95,0.00,16.39,31.51,0.00,1.26,0.00,0.00,26.89
